Sl. No.,State / UT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,Andhra Pradesh,8,16,11,16,7,10,10,8,13,3,4
2,Assam,0,0,0,0,0,0,0,0,0,0,0
3,Bihar,1,20,1,9,5,11,3,6,12,1,1
4,Chhattisgarh,1,6,3,6,1,2,3,0,3,0,1
5,Delhi,1,11,7,7,3,2,9,6,8,4,3
6,Gujarat,1,1,1,3,2,3,4,3,4,2,0
7,Haryana,3,8,8,9,4,10,13,9,8,3,2
8,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
9,Jharkhand,1,19,5,7,9,16,10,3,10,1,0
10,Karnataka,0,2,1,1,2,3,0,0,2,4,0
11,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Madhya Pradesh,2,4,5,10,4,10,7,7,13,2,1
13,Maharashtra,1,3,8,5,5,8,6,8,15,5,0
14,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Odisha,2,18,9,17,11,19,9,4,8,2,4
16,Punjab,6,17,11,12,3,5,12,4,8,1,2
17,Rajasthan,7,7,9,11,9,15,14,17,20,6,4
18,Tamil Nadu,3,10,4,5,3,3,8,2,11,4,3
19,Telangana,0,9,6,2,7,14,5,0,10,2,0
20,Uttar Pradesh,2,17,6,9,8,5,4,6,13,2,1
21,Uttarakhand,0,27,2,3,2,9,4,5,13,0,7
22,West Bengal,1,6,3,12,1,5,2,2,3,0,3
